,Price,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
2015-06-16,2096.29,1366.29,1397.187,1257.119,766.321,1350.239,2760.8,5117.435
2015-06-17,2100.44,1378.44,1401.93,1259.758,774.006,1353.41,2768.8,5109.516
2015-06-18,2121.24,1407.24,1388.772,1265.883,767.2,1356.583,2776.8,5103.831
2015-06-19,2109.99,1387.99,1386.198,1261.294,760.964,1353.819,2792.8,5128.939
2015-06-20,2114.2766666666666,1389.61,1382.382,1261.4466666666667,753.784,1352.8966666666665,2792.8,5127.402666666667
2015-06-21,2118.563333333333,1391.23,1378.566,1261.5993333333333,746.604,1351.9743333333333,2792.8,5125.866333333333
2015-06-22,2122.85,1392.85,1374.75,1261.752,739.424,1351.052,2792.8,5124.33
2015-06-23,2124.2,1386.2,1345.9679999999998,1259.8,717.884,1348.282,2792.8,5141.157
2015-06-24,2108.58,1362.58,1317.186,1254.3,692.67,1345.51,2808.8,5182.213
2015-06-25,2102.31,1348.31,1338.921,1250.757,706.107,1342.735,2824.8,5190.298
2015-06-26,2101.49,1355.49,1341.846,1252.354,712.325,1345.91,2824.8,5188.236
2015-06-27,2086.873333333333,1343.54,1353.588,1249.8926666666666,723.105,1346.9696666666666,2819.4666666666667,5193.25
2015-06-28,2072.2566666666667,1331.5900000000001,1365.33,1247.4313333333334,733.885,1348.0293333333334,2814.1333333333337,5198.264
2015-06-29,2057.64,1319.64,1377.072,1244.97,744.665,1349.089,2808.8,5203.278
2015-06-30,2063.11,1333.11,1380.366,1246.805,751.177,1352.27,2824.8,5204.763
2015-07-01,2077.42,1339.42,1382.103,1248.64,748.429,1349.492,2824.8,5192.176
2015-07-02,2076.78,1330.78,1374.381,1246.277,738.034,1346.71,2840.8,5209.194
2015-07-03,2074.775,1330.775,1376.30475,1246.3020000000001,740.5509999999999,1347.506,2840.8,5209.89775
2015-07-04,2072.7700000000004,1330.77,1378.2285000000002,1246.327,743.068,1348.3020000000001,2840.8,5210.601500000001
2015-07-05,2070.7650000000003,1330.7649999999999,1380.15225,1246.3519999999999,745.585,1349.098,2840.8,5211.30525
2015-07-06,2068.76,1330.76,1382.076,1246.377,748.102,1349.894,2840.8,5212.009
2015-07-07,2081.34,1335.34,1376.433,1246.768,739.389,1347.11,2840.8,5204.78
2015-07-08,2046.68,1308.68,1382.949,1241.327,748.502,1350.297,2856.8,5244.82
2015-07-09,2051.31,1305.31,1368.819,1240.064,732.933,1347.51,2856.8,5249.697
2015-07-10,2076.62,1322.62,1383.417,1243.098,740.575,1344.72,2856.8,5219.811
2015-07-11,2084.2799999999997,1332.9466666666665,1378.281,1245.2793333333334,737.7090000000001,1345.7830000000001,2856.8,5214.191
2015-07-12,2091.94,1343.2733333333333,1373.145,1247.4606666666666,734.843,1346.846,2856.8,5208.571
2015-07-13,2099.6,1353.6,1368.009,1249.642,731.977,1347.909,2856.8,5202.951
2015-07-14,2108.95,1354.95,1335.708,1249.352,701.739,1345.116,2856.8,5211.968
2015-07-15,2107.4,1361.4,1378.971,1250.797,740.527,1348.308,2840.8,5180.944
2015-07-16,2124.29,1386.29,1371.726,1256.067,738.111,1351.503,2856.8,5176.419
2015-07-17,2126.64,1396.64,1364.481,1258.32,736.525,1354.701,2856.8,5175.927
2015-07-18,2127.1866666666665,1394.52,1357.89,1257.6883333333333,729.8213333333333,1353.769,2856.8,5179.449333333333
2015-07-19,2127.7333333333336,1392.4,1351.299,1257.0566666666666,723.1176666666667,1352.837,2856.8,5182.971666666666
2015-07-20,2128.28,1390.28,1344.708,1256.425,716.414,1351.905,2856.8,5186.494
2015-07-21,2119.21,1373.21,1343.457,1252.312,711.256,1349.107,2856.8,5198.737
2015-07-22,2114.15,1376.15,1312.983,1253.031,690.516,1352.307,2840.8,5207.184
2015-07-23,2102.15,1372.15,1326.996,1252.316,705.678,1355.51,2840.8,5210.924
2015-07-24,2079.65,1341.65,1340.919,1245.432,712.763,1352.708,2824.8,5219.22
2015-07-25,2075.6466666666665,1340.3133333333335,1351.617,1245.195,722.6763333333333,1353.7766666666666,2824.8,5217.553666666667
2015-07-26,2071.6433333333334,1338.9766666666667,1362.315,1244.958,732.5896666666667,1354.8453333333334,2824.8,5215.887333333333
2015-07-27,2067.64,1337.64,1373.013,1244.721,742.503,1355.914,2824.8,5214.221
2015-07-28,2093.25,1371.25,1350.351,1251.782,728.074,1359.123,2824.8,5198.173
2015-07-29,2108.57,1378.57,1312.245,1252.713,693.197,1356.318,2824.8,5203.875
2015-07-30,2108.63,1386.63,1331.685,1254.492,712.726,1359.529,2840.8,5202.958
2015-07-31,2103.84,1373.84,1342.323,1251.272,717.155,1356.722,2840.8,5205.163
2015-08-01,2101.9066666666668,1369.24,1348.1190000000001,1250.1293333333333,720.4443333333334,1355.7853333333333,2840.8,5205.151
2015-08-02,2099.9733333333334,1364.6399999999999,1353.915,1248.9866666666667,723.7336666666666,1354.8486666666668,2840.8,5205.139
2015-08-03,2098.04,1360.04,1359.711,1247.844,727.023,1353.912,2840.8,5205.127
2015-08-04,2093.32,1347.32,1351.341,1244.641,716.127,1351.098,2840.8,5216.457
2015-08-05,2099.84,1361.84,1352.7,1247.752,721.073,1354.3135,2840.8,5207.848
2015-08-06,2083.56,1353.56,1377.774,1246.171,745.127,1357.529,2856.8,5220.614
2015-08-07,2077.57,1355.57,1362.2849999999999,1246.709,742.449,1360.749,2872.8,5239.082
2015-08-08,2086.44,1361.7733333333333,1357.1219999999998,1247.7886666666668,734.9223333333333,1359.8103333333333,2872.8,5234.738
2015-08-09,2095.31,1367.9766666666667,1351.959,1248.8683333333333,727.3956666666667,1358.8716666666667,2872.8,5230.394
2015-08-10,2104.18,1374.18,1346.796,1249.948,719.869,1357.933,2872.8,5226.05
2015-08-11,2084.07,1362.07,1324.044,1247.585,705.396,1361.155,2872.8,5255.658
2015-08-12,2086.05,1372.05,1333.089,1249.762,716.534,1364.38,2872.8,5247.891
2015-08-13,2083.39,1377.39,1314.684,1250.986,705.567,1367.608,2872.8,5257.939
2015-08-14,2091.54,1377.54,1266.831,1250.427,680.7065,1364.789,2872.8,5275.276
2015-08-15,2095.173333333333,1383.84,1262.3129999999999,1251.7616666666665,672.4196666666667,1365.8656666666666,2875.4666666666667,5273.316666666667
2015-08-16,2098.806666666667,1390.14,1257.795,1253.0963333333334,664.1328333333333,1366.9423333333334,2878.1333333333337,5271.357333333333
2015-08-17,2102.44,1396.44,1253.277,1254.431,655.846,1368.019,2880.8,5269.398
2015-08-18,2096.92,1398.92,1260.153,1255.068,665.242,1371.253,2888.8,5280.154
2015-08-19,2079.61,1373.61,1268.262,1249.292,667.629,1368.431,2888.8,5296.116
2015-08-20,2035.73,1337.73,1230.102,1242.083,640.784,1371.667,2888.8,5356.754
2015-08-21,1970.89,1266.47,1253.106,1226.597,655.156,1368.842,2888.8,5413.132
2015-08-22,1944.9966666666667,1242.7166666666667,1242.453,1221.8983333333333,647.8736666666666,1369.9216666666666,2894.1333333333337,5446.946333333333
2015-08-23,1919.1033333333335,1218.9633333333334,1231.8,1217.1996666666666,640.5913333333333,1371.0013333333334,2899.4666666666667,5480.760666666666
2015-08-24,1893.21,1195.21,1221.147,1212.501,633.309,1372.081,2904.8,5514.575
2015-08-25,1867.61,1161.61,1216.647,1205.061,625.555,1369.253,2888.8,5534.831
2015-08-26,1940.51,1226.51,1191.447,1217.741,601.155,1366.422,2888.8,5476.435
2015-08-27,1987.66,1281.66,1205.541,1229.149,616.356,1369.664,2888.8,5421.083
2015-08-28,1988.87,1274.87,1234.26,1227.177,635.312,1366.83,2888.8,5408.734
2015-08-29,1983.3066666666666,1271.9733333333334,1227.114,1226.6363333333334,630.8556666666667,1366.8978333333332,2883.4666666666667,5413.862
2015-08-30,1977.7433333333333,1269.0766666666666,1219.9679999999998,1226.0956666666666,626.3993333333333,1366.9656666666667,2878.1333333333337,5418.990000000001
2015-08-31,1972.18,1266.18,1212.822,1225.555,621.943,1367.0335,2872.8,5424.118
2015-09-01,1913.85,1199.85,1231.317,1211.452,632.674,1367.237,2872.8,5476.185
2015-09-02,1948.86,1242.86,1218.105,1220.37,625.921,1370.485,2856.8,5435.952
2015-09-03,1951.13,1237.13,1222.074,1218.617,624.976,1367.645,2856.8,5434.314
2015-09-04,1921.22,1215.22,1269.666,1214.318,667.077,1370.895,2872.8,5450.225
2015-09-05,1933.2675,1217.8225,1270.8225,1217.21425,668.971,1371.70825,2872.8,5437.26425
2015-09-06,1945.315,1220.4250000000002,1271.9789999999998,1220.1105,670.865,1372.5214999999998,2872.8,5424.3035
